province,url,description,notes,dynamic
上海,https://xzxk.sfj.sh.gov.cn/hall/doc-list.jsp,上海市司法局—政务公开—双公示—行政许可—关键词“设立”,,false
河北省,https://sft.hebei.gov.cn/xzzfgszl/shgk/index.shtml,河北省司法厅—公共服务—河北省行政执法公示平台—河北省司法厅—事后公开,,false
山西省,https://sft.shanxi.gov.cn/zwgk/fdzdgknr/xxqlyx/xzxk1/,山西省司法厅—政府信息公开—法定主动公开内容—行政权力运行—行政许可,,false
辽宁省,https://sft.ln.gov.cn/,辽宁省司法厅—政务公开/公文栏目,由系统补齐,false
吉林省,https://zwfw.jl.gov.cn/jlszwfw/jggs/,吉林省司法厅—政府信息公开—法定主动公开内容—行政许可和办事服务办理结果—省司法厅,,false
黑龙江省,https://sft.hlj.gov.cn/,黑龙江省司法厅—政务公开/公文栏目,由系统补齐,false
江苏省,http://fz.sft.jiangsu.gov.cn:9000/Sky.WebHall/sftweb/xingquan_topublic_list_page.aspx,江苏省司法厅—信息公开—行政许可和行政处罚等信用信息公示—行政许可公示,,false
浙江省,https://ls.sft.zj.gov.cn,律师在线—公告公示—许可文书,表单预览看不到具体事项，必须一个一个点进去看,true
安徽省,https://ah.12348.gov.cn/credit/publicity,安徽司法行政信用信息平台—双公示—行政许可,表单预览看不到具体事项，必须一个一个点进去看,true
福建省,https://sft.fujian.gov.cn/zwgk/zfxxgkzl/zfxxgkml/,福建省司法厅—政务公开—政府信息公开—法定主动公开内容,,false
江西省,https://sf.jiangxi.gov.cn/search5/html/searchResult.html?siteCode=3600000041&searchWord=%E5%BE%8B%E5%B8%88%E4%BA%8B%E5%8A%A1%E6%89%80%E8%AE%BE%E7%AB%8B,江西省司法厅—搜索栏直接搜索“律师事务所设立”,,false
山东省,http://sft.shandong.gov.cn/channels/ch07775/,山东省司法厅—政务公开—信息公开年度报告—法定主动公开内容—行政执法公示—事后公开,每月公开一次，目前公开至2024年12月,false
河南省,https://sft.henan.gov.cn/,河南省司法厅—政务公开/公文栏目,由系统补齐,false
湖北省,https://sft.hubei.gov.cn/zfxxgk/fdzdgknr/xkfw/xzxkjg/djgxzxk/#test,湖北省司法厅—政府信息公开—法定主动公开内容—行政许可结果—对机构行政结果,,false
湖南省,https://sft.hunan.gov.cn/sft/xxgk_71079/xyxxgs/index.html,湖南省司法厅—政府信息公开—法定主动公开内容—信用信息公示,,false
广东省,http://www.xzzfxxgs.gdsf.gov.cn/ApprLawPublicity/unit.html#/home?id=53b568f355b249589275be0993d02eb8&parentCodes=,广东省行政执法信息公示平台—省司法厅—事后公开—执法结果—行政许可,,true
海南省,https://hi.12348.gov.cn/#/publics/xyxx/xyxxList,海南省司法厅—信息公开—双公示信息—跳转“海南法律服务网”—信息公示—行政许可,,true
四川省,http://zxbl.sczwfw.gov.cn/app/newAffairPublicity/publicityListMorePageDh?areaCode=510000000000,四川政务服务网—政务公开—双公示—行政许可—办件结果—司法厅,,true
贵州省,https://sft.guizhou.gov.cn/zwgk_97/xxgkml/zdlyxx/xzxkcfsgs/xzxk_5740153/lsjlssws/index.html,贵州省司法厅—政务公开—信息公开目录—重点领域信息—行政执法—行政许可—律师及律师事务所,,false
云南省,https://sft.yn.gov.cn/sgs/index.jhtml,云南司法行政网—政府信息公开—法定主动公开内容—双公示,"表单预览看不到具体事项，必须一个一个点进去看
司法鉴定中心也混在一起",true
陕西省,https://sft.shaanxi.gov.cn/zfxxgk/fdzdgknr/xzxk/,陕西省司法厅—政务公开—法定主动公开内容—行政许可,,false
甘肃省,https://sft.gansu.gov.cn/sft/c113192/xxgklmlb.shtml,甘肃省司法厅—政府信息公开—法定主动公开内容—行政许可,,false
青海省,https://sft.qinghai.gov.cn/zwgk/fdzdgknr,青海省司法厅—政务公开—法定主动公开内容—行政许可公示,,false
内蒙古自治区,https://sft.nmg.gov.cn/adm/webpage/license/document/list,内蒙古自治区司法厅—政务公开—法定主动公开内容—十公示—行政许可公示,,false
广西壮族自治区,http://sft.gxzf.gov.cn/zwgk/xzsgs/xzxk/,广西壮族自治区司法厅—政府信息公开—信息发布—行政双公示—行政许可,,false
西藏自治区,https://sft.xizang.gov.cn/xxgk/xzxk/,西藏自治区司法厅—信息公开—行政许可,每半年公开一次,false
宁夏回族自治区,https://sft.nx.gov.cn/xxgk/fdzdgknr/xzzfxxgs/,宁夏回族自治区司法厅—政府信息公开—法定主动公开内容—行政执法信息公示,,false
新疆维吾尔自治区,https://sft.xinjiang.gov.cn/sgs/information_class.shtml,新疆维吾尔自治区司法厅——政府信息公开—法定主动公开内容—双公示—行政许可,,false
北京市,https://sfj.beijing.gov.cn/sfj/sfdt/ztzl74/bjssfjxzxkhxzcfxxgszl50/index.html,北京市司法局行政许可和行政处罚信息公示专栏—行政许可,,false
天津市,https://sf.tj.gov.cn/ZWGK748/sfjzfxxgk/sfjfadzdgknr/sfjxzxkfwsx/,天津市司法局—政务公开—法定主动公开内容—行政许可、服务事项,律所名称只公开到2013年，后续发布的没有律所名字,false
重庆市,https://sfj.cq.gov.cn/zwgk_243/zfxxgkml/fdgkxzxk/xzxkbljg/,重庆市司法局—政务公开—法定主动公开内容—行政许可—行政许可结果,每月公开一次，附件下载,false
